"filename", "language", "CSS", "SQL", "PHP", "JSON", "JavaScript", "HTML", "Markdown", "comment", "blank", "total"
"c:\xampp\htdocs\HosPortal new CSS\js\pdf-generator.js", "JavaScript", 0, 0, 0, 0, 354, 0, 0, 0, 66, 420
"c:\xampp\htdocs\HosPortal new CSS\js\upload-medtech.js", "JavaScript", 0, 0, 0, 0, 65, 0, 0, 2, 8, 75
"c:\xampp\htdocs\HosPortal new CSS\medtech-homepage.php", "PHP", 0, 0, 188, 0, 0, 0, 0, 0, 27, 215
"c:\xampp\htdocs\HosPortal new CSS\meeting-room-patient.php", "PHP", 0, 0, 49, 0, 0, 0, 0, 0, 11, 60
"c:\xampp\htdocs\HosPortal new CSS\meeting-room.php", "PHP", 0, 0, 203, 0, 0, 0, 0, 2, 28, 233
"c:\xampp\htdocs\HosPortal new CSS\package-lock.json", "JSON", 0, 0, 0, 24, 0, 0, 0, 0, 1, 25
"c:\xampp\htdocs\HosPortal new CSS\package.json", "JSON", 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\xampp\htdocs\HosPortal new CSS\patient-all-documents.php", "PHP", 0, 0, 111, 0, 0, 0, 0, 0, 21, 132
"c:\xampp\htdocs\HosPortal new CSS\patient-documents.php", "PHP", 0, 0, 190, 0, 0, 0, 0, 0, 37, 227
"c:\xampp\htdocs\HosPortal new CSS\patient-homepage.php", "PHP", 0, 0, 351, 0, 0, 0, 0, 0, 51, 402
"c:\xampp\htdocs\HosPortal new CSS\patient-labresult.php", "PHP", 0, 0, 39, 0, 0, 0, 0, 0, 10, 49
"c:\xampp\htdocs\HosPortal new CSS\patient-prescription.php", "PHP", 0, 0, 48, 0, 0, 0, 0, 0, 11, 59
"c:\xampp\htdocs\HosPortal new CSS\patient-transaction.php", "PHP", 0, 0, 39, 0, 0, 0, 0, 0, 9, 48
"c:\xampp\htdocs\HosPortal new CSS\php_processes\accept-decline-online.php", "PHP", 0, 0, 54, 0, 0, 0, 0, 5, 19, 78
"c:\xampp\htdocs\HosPortal new CSS\php_processes\add-patient.php", "PHP", 0, 0, 13, 0, 0, 0, 0, 0, 6, 19
"c:\xampp\htdocs\HosPortal new CSS\php_processes\appointment-cancel-patient.php", "PHP", 0, 0, 101, 0, 0, 0, 0, 0, 14, 115
"c:\xampp\htdocs\HosPortal new CSS\php_processes\appointment-cancel.php", "PHP", 0, 0, 42, 0, 0, 0, 0, 1, 13, 56
"c:\xampp\htdocs\HosPortal new CSS\php_processes\appointment-done.php", "PHP", 0, 0, 28, 0, 0, 0, 0, 0, 7, 35
"c:\xampp\htdocs\HosPortal new CSS\php_processes\appt-table-patient.php", "PHP", 0, 0, 84, 0, 0, 0, 0, 0, 10, 94
"c:\xampp\htdocs\HosPortal new CSS\php_processes\archive-document.php", "PHP", 0, 0, 84, 0, 0, 0, 0, 4, 16, 104
"c:\xampp\htdocs\HosPortal new CSS\php_processes\archive-pagination.php", "PHP", 0, 0, 73, 0, 0, 0, 0, 2, 9, 84
"c:\xampp\htdocs\HosPortal new CSS\php_processes\archive-soap.php", "PHP", 0, 0, 62, 0, 0, 0, 0, 4, 17, 83
"c:\xampp\htdocs\HosPortal new CSS\php_processes\blob-to-database.php", "PHP", 0, 0, 31, 0, 0, 0, 0, 0, 11, 42
"c:\xampp\htdocs\HosPortal new CSS\php_processes\book-appointment-doctor.php", "PHP", 0, 0, 65, 0, 0, 0, 0, 4, 17, 86
"c:\xampp\htdocs\HosPortal new CSS\php_processes\book-appointment.php", "PHP", 0, 0, 114, 0, 0, 0, 0, 11, 21, 146
"c:\xampp\htdocs\HosPortal new CSS\php_processes\calendar-available-btns.php", "PHP", 0, 0, 82, 0, 0, 0, 0, 0, 21, 103
"c:\xampp\htdocs\HosPortal new CSS\php_processes\calendar-script.php", "PHP", 0, 0, 223, 0, 0, 0, 0, 9, 26, 258
"c:\xampp\htdocs\HosPortal new CSS\php_processes\calendar_php\delete.php", "PHP", 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\xampp\htdocs\HosPortal new CSS\php_processes\calendar_php\insert.php", "PHP", 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\xampp\htdocs\HosPortal new CSS\php_processes\calendar_php\update.php", "PHP", 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\xampp\htdocs\HosPortal new CSS\php_processes\check-disabled-date.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 0, 5, 15
"c:\xampp\htdocs\HosPortal new CSS\php_processes\conclude-appointment.php", "PHP", 0, 0, 6, 0, 0, 0, 0, 0, 5, 11
"c:\xampp\htdocs\HosPortal new CSS\php_processes\count-notifs-doctor.php", "PHP", 0, 0, 16, 0, 0, 0, 0, 0, 7, 23
"c:\xampp\htdocs\HosPortal new CSS\php_processes\count-notifs.php", "PHP", 0, 0, 16, 0, 0, 0, 0, 0, 7, 23
"c:\xampp\htdocs\HosPortal new CSS\php_processes\db_conn.php", "PHP", 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
"c:\xampp\htdocs\HosPortal new CSS\php_processes\delete-lab-draft.php", "PHP", 0, 0, 37, 0, 0, 0, 0, 0, 10, 47
"c:\xampp\htdocs\HosPortal new CSS\php_processes\disable-enable-dates.php", "PHP", 0, 0, 46, 0, 0, 0, 0, 1, 10, 57
"c:\xampp\htdocs\HosPortal new CSS\php_processes\disable-times.php", "PHP", 0, 0, 13, 0, 0, 0, 0, 0, 6, 19
"c:\xampp\htdocs\HosPortal new CSS\php_processes\documents-patient-search.php", "PHP", 0, 0, 32, 0, 0, 0, 0, 0, 8, 40
"c:\xampp\htdocs\HosPortal new CSS\php_processes\download-prescription.php", "PHP", 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
"c:\xampp\htdocs\HosPortal new CSS\php_processes\employee-ajax-table.php", "PHP", 0, 0, 63, 0, 0, 0, 0, 0, 6, 69
"c:\xampp\htdocs\HosPortal new CSS\php_processes\employee-all-docs-sort.php", "PHP", 0, 0, 58, 0, 0, 0, 0, 0, 8, 66
"c:\xampp\htdocs\HosPortal new CSS\php_processes\employee-code.php", "PHP", 0, 0, 12, 0, 0, 0, 0, 0, 5, 17
"c:\xampp\htdocs\HosPortal new CSS\php_processes\employee-sorted-table.php", "PHP", 0, 0, 35, 0, 0, 0, 0, 0, 7, 42
"c:\xampp\htdocs\HosPortal new CSS\php_processes\field-filler.php", "PHP", 0, 0, 45, 0, 0, 0, 0, 0, 9, 54
"c:\xampp\htdocs\HosPortal new CSS\php_processes\get-created-soap.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 0, 6, 16
"c:\xampp\htdocs\HosPortal new CSS\php_processes\get-disabled-dates.php", "PHP", 0, 0, 9, 0, 0, 0, 0, 0, 5, 14
"c:\xampp\htdocs\HosPortal new CSS\php_processes\get-patient-info.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 0, 7, 29
"c:\xampp\htdocs\HosPortal new CSS\php_processes\if-online.php", "PHP", 0, 0, 28, 0, 0, 0, 0, 0, 7, 35
