Date : 2021-12-30 20:16:12
Directory : c:\xampp\htdocs\HosPortal new CSS
Total : 225 files,  57683 codes, 5519 comments, 8630 blanks, all 71832 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\main.min.css                         | CSS        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\main.min.js                          | JavaScript |          1 |          5 |          0 |          6 |
| c:\xampp\htdocs\HosPortal new CSS\fullcalendar\package.json                         | JSON       |         32 |          0 |          0 |         32 |
| c:\xampp\htdocs\HosPortal new CSS\icd10_codes.json                                  | JSON       |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\HosPortal new CSS\index.php                                         | PHP        |        184 |          3 |         22 |        209 |
| c:\xampp\htdocs\HosPortal new CSS\jqueryui\external\jquery\jquery.js                | JavaScript |      6,895 |      1,911 |      2,076 |     10,882 |
| c:\xampp\htdocs\HosPortal new CSS\jqueryui\index.html                               | HTML       |        447 |         16 |         41 |        504 |
| c:\xampp\htdocs\HosPortal new CSS\jqueryui\jquery-ui.css                            | CSS        |      1,224 |         49 |         43 |      1,316 |
| c:\xampp\htdocs\HosPortal new CSS\jqueryui\jquery-ui.js                             | JavaScript |     13,856 |      2,104 |      3,086 |     19,046 |
| c:\xampp\htdocs\HosPortal new CSS\jqueryui\jquery-ui.min.css                        | CSS        |          1 |          5 |          1 |          7 |
| c:\xampp\htdocs\HosPortal new CSS\jqueryui\jquery-ui.min.js                         | JavaScript |          1 |          4 |          1 |          6 |
| c:\xampp\htdocs\HosPortal new CSS\jqueryui\jquery-ui.structure.css                  | CSS        |        821 |         36 |         30 |        887 |
| c:\xampp\htdocs\HosPortal new CSS\jqueryui\jquery-ui.structure.min.css              | CSS        |          1 |          3 |          1 |          5 |
| c:\xampp\htdocs\HosPortal new CSS\jqueryui\jquery-ui.theme.css                      | CSS        |        403 |         30 |         14 |        447 |
| c:\xampp\htdocs\HosPortal new CSS\jqueryui\jquery-ui.theme.min.css                  | CSS        |          1 |          3 |          1 |          5 |
| c:\xampp\htdocs\HosPortal new CSS\jqueryui\package.json                             | JSON       |         72 |          0 |          1 |         73 |
| c:\xampp\htdocs\HosPortal new CSS\js\appointment-manager.js                         | JavaScript |        648 |          6 |         94 |        748 |
| c:\xampp\htdocs\HosPortal new CSS\js\archive.js                                     | JavaScript |        217 |          8 |         34 |        259 |
| c:\xampp\htdocs\HosPortal new CSS\js\base64-to-pdf.js                               | JavaScript |          0 |         21 |          4 |         25 |
| c:\xampp\htdocs\HosPortal new CSS\js\billing.js                                     | JavaScript |        213 |          4 |         39 |        256 |
| c:\xampp\htdocs\HosPortal new CSS\js\book-appointment.js                            | JavaScript |        503 |         36 |         84 |        623 |
| c:\xampp\htdocs\HosPortal new CSS\js\doctor-documents.js                            | JavaScript |        613 |         12 |         76 |        701 |
| c:\xampp\htdocs\HosPortal new CSS\js\login-and-register.js                          | JavaScript |         48 |          0 |          8 |         56 |
| c:\xampp\htdocs\HosPortal new CSS\js\medtech.js                                     | JavaScript |        200 |          5 |         31 |        236 |
| c:\xampp\htdocs\HosPortal new CSS\js\meet.js                                        | JavaScript |        259 |          1 |         43 |        303 |
| c:\xampp\htdocs\HosPortal new CSS\js\navbar.js                                      | JavaScript |         56 |          0 |         14 |         70 |
| c:\xampp\htdocs\HosPortal new CSS\js\notification-doc.js                            | JavaScript |         43 |          1 |          6 |         50 |
| c:\xampp\htdocs\HosPortal new CSS\js\notification.js                                | JavaScript |         73 |         12 |         14 |         99 |
| c:\xampp\htdocs\HosPortal new CSS\js\patient-documents.js                           | JavaScript |        248 |          0 |         34 |        282 |
| c:\xampp\htdocs\HosPortal new CSS\js\patient-list.js                                | JavaScript |        298 |          3 |         50 |        351 |
| c:\xampp\htdocs\HosPortal new CSS\js\pdf-generator.js                               | JavaScript |        354 |          0 |         66 |        420 |
| c:\xampp\htdocs\HosPortal new CSS\js\upload-medtech.js                              | JavaScript |         65 |          2 |          8 |         75 |
| c:\xampp\htdocs\HosPortal new CSS\medtech-homepage.php                              | PHP        |        188 |          0 |         27 |        215 |
| c:\xampp\htdocs\HosPortal new CSS\meeting-room-patient.php                          | PHP        |         49 |          0 |         11 |         60 |
| c:\xampp\htdocs\HosPortal new CSS\meeting-room.php                                  | PHP        |        203 |          2 |         28 |        233 |
| c:\xampp\htdocs\HosPortal new CSS\package-lock.json                                 | JSON       |         24 |          0 |          1 |         25 |
| c:\xampp\htdocs\HosPortal new CSS\package.json                                      | JSON       |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\HosPortal new CSS\patient-all-documents.php                         | PHP        |        111 |          0 |         21 |        132 |
| c:\xampp\htdocs\HosPortal new CSS\patient-documents.php                             | PHP        |        190 |          0 |         37 |        227 |
| c:\xampp\htdocs\HosPortal new CSS\patient-homepage.php                              | PHP        |        351 |          0 |         51 |        402 |
| c:\xampp\htdocs\HosPortal new CSS\patient-labresult.php                             | PHP        |         39 |          0 |         10 |         49 |
| c:\xampp\htdocs\HosPortal new CSS\patient-prescription.php                          | PHP        |         48 |          0 |         11 |         59 |
| c:\xampp\htdocs\HosPortal new CSS\patient-transaction.php                           | PHP        |         39 |          0 |          9 |         48 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\accept-decline-online.php           | PHP        |         54 |          5 |         19 |         78 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\add-patient.php                     | PHP        |         13 |          0 |          6 |         19 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\appointment-cancel-patient.php      | PHP        |        101 |          0 |         14 |        115 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\appointment-cancel.php              | PHP        |         42 |          1 |         13 |         56 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\appointment-done.php                | PHP        |         28 |          0 |          7 |         35 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\appt-table-patient.php              | PHP        |         84 |          0 |         10 |         94 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\archive-document.php                | PHP        |         84 |          4 |         16 |        104 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\archive-pagination.php              | PHP        |         73 |          2 |          9 |         84 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\archive-soap.php                    | PHP        |         62 |          4 |         17 |         83 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\blob-to-database.php                | PHP        |         31 |          0 |         11 |         42 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\book-appointment-doctor.php         | PHP        |         65 |          4 |         17 |         86 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\book-appointment.php                | PHP        |        114 |         11 |         21 |        146 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\calendar-available-btns.php         | PHP        |         82 |          0 |         21 |        103 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\calendar-script.php                 | PHP        |        223 |          9 |         26 |        258 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\calendar_php\delete.php             | PHP        |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\calendar_php\insert.php             | PHP        |          9 |          0 |          1 |         10 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\calendar_php\update.php             | PHP        |          9 |          0 |          2 |         11 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\check-disabled-date.php             | PHP        |         10 |          0 |          5 |         15 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\conclude-appointment.php            | PHP        |          6 |          0 |          5 |         11 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\count-notifs-doctor.php             | PHP        |         16 |          0 |          7 |         23 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\count-notifs.php                    | PHP        |         16 |          0 |          7 |         23 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\db_conn.php                         | PHP        |          9 |          0 |          4 |         13 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\delete-lab-draft.php                | PHP        |         37 |          0 |         10 |         47 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\disable-enable-dates.php            | PHP        |         46 |          1 |         10 |         57 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\disable-times.php                   | PHP        |         13 |          0 |          6 |         19 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\documents-patient-search.php        | PHP        |         32 |          0 |          8 |         40 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\download-prescription.php           | PHP        |          9 |          0 |          4 |         13 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\employee-ajax-table.php             | PHP        |         63 |          0 |          6 |         69 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\employee-all-docs-sort.php          | PHP        |         58 |          0 |          8 |         66 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\employee-code.php                   | PHP        |         12 |          0 |          5 |         17 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\employee-sorted-table.php           | PHP        |         35 |          0 |          7 |         42 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\field-filler.php                    | PHP        |         45 |          0 |          9 |         54 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\get-created-soap.php                | PHP        |         10 |          0 |          6 |         16 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\get-disabled-dates.php              | PHP        |          9 |          0 |          5 |         14 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\get-patient-info.php                | PHP        |         22 |          0 |          7 |         29 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\if-online.php                       | PHP        |         28 |          0 |          7 |         35 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\insert-lab-draft.php                | PHP        |        221 |          2 |         21 |        244 |
| c:\xampp\htdocs\HosPortal new CSS\php_processes\issue-bill.php                      | PHP        |         38 |          0 |         10 |         48 |
